c_custkey,c_name,revenue,c_acctbal,n_name,c_address,c_phone,c_comment
104872,Customer#000104872,67961.5300,5266.56,IRAN,Jq49pkm3CsBlnwjAf goJ,20-313-468-7399,nusual accounts haggle slyly alongside of the slyly final packages. blithely even patterns according to the pending
42,Johnson,26506.5113,7142.99,JAPAN,Market,111,unsatisfied
20,Egerton,17061.6321,3815.45,RUSSIA,Main,111,satisfied
19,Sanders,15433.1896,7277.73,BRAZIL,Franklin,111,unsatisfied
57,Sanders,12052.3928,3917.78,FRANCE,Market,111,unhappy
24,Jackson,11571.2623,8024.52,UNITED KINGDOM,Gough,111,satisfied
45,Kline,9886.3370,2006.10,UNITED STATES,Turk,111,unsatisfied
31,Frankel,9358.1136,1614.37,KENYA,Mission,111,happy
50,Martin,8368.0047,6732.18,PERU,Franklin,111,dissatisfied
64,Stringer,8266.2624,9861.43,UNITED STATES,Gough,111,contented
11,Walker,6711.1789,4041.93,CHINA,Turk,111,contented
35,Samson,5551.7801,8859.55,MOROCCO,Mission,111,contented
63,Walker,5138.8337,2241.23,ROMANIA,Main,111,contented
